icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
00AA,,Aero B Ranch Airport,Leoti,Kansas,US,3435,38.70402222,-101.4739111,America/Chicago,00AA
00AK,,Lowell Field,Anchor Point,Alaska,US,252,59.94888889,-151.6922222,America/Anchorage,00AK
00AL,,Epps Airpark,Harvest,Alabama,US,820,34.86481028,-86.7702775,America/Chicago,00AL
00AR,,Arland Airport,Bennington,Kansas,US,1352,38.96965108,-97.60155661,America/Chicago,00AR
00AS,,Fulton Airport,Alex,Oklahoma,US,1100,34.94280278,-97.81801944,America/Chicago,00AS
00CA,,Goldstone /Gts/ Airport,Barstow,California,US,3038,35.35497222,-116.8852083,America/Los_Angeles,00CA
00CL,,Williams Ag Airport,Biggs,California,US,87,39.42718889,-121.7634278,America/Los_Angeles,00CL
00FA,,Grass Patch Airport,Bushnell,Florida,US,53,28.64554722,-82.218975,America/New_York,00FA
00FL,,River Oak Airport,Okeechobee,Florida,US,35,27.23087972,-80.96923056,America/New_York,00FL
00GA,,Lt World Airport,Lithonia,Georgia,US,700,33.7675,-84.06833333,America/New_York,00GA
00ID,,Delta Shores Airport,Clark Fork,Idaho,US,2064,48.14527778,-116.2144444,America/Los_Angeles,00ID
00IG,,Goltl Airport,Mcdonald,Kansas,US,3359,39.72402778,-101.3959944,America/Chicago,00IG
00IL,,Hammer Airport,Polo,Illinois,US,840,41.97836333,-89.56038833,America/Chicago,00IL
00IS,,Hayenga's Cant Find Farms Airport,Kings,Illinois,US,820,40.025595,-89.12286472,America/Chicago,00IS
00KS,,Hayden Farm Airport,Gardner,Kansas,US,1100,38.72778667,-94.93051972,America/Chicago,00KS
00KY,,Robbins Roost Airport,Stanford,Kentucky,US,1265,37.40944444,-84.61972222,America/New_York,00KY
00LS,,Lejeune Airport,Esterwood,Louisiana,US,12,30.13627778,-92.42936111,America/Chicago,00LS
00MD,,Slater Field,Federalsburg,Maryland,US,45,38.75705778,-75.75382083,America/New_York,00MD
00MN,,Battle Lake Municipal Airport,Battle Lake,Minnesota,US,1365,46.29996028,-95.70032417,America/Chicago,00MN
00NC,,North Raleigh Airport,Louisburg,North Carolina,US,348,36.08515028,-78.37138556,America/New_York,00NC
00NY,,Weiss Airfield,West Bloomfield,New York,US,1000,42.89586111,-77.49516111,America/New_York,00NY
00OK,,Gull Bay Landing Airport,Sandsprings,Oklahoma,US,960,36.198918,-96.217682,America/Chicago,00OK
00PN,,Ferrell Field,Mercer,Pennsylvania,US,1301,41.2995,-80.21111111,America/New_York,00PN
00SC,,Flying O Airport,Sumter,South Carolina,US,150,34.00944444,-80.26722222,America/New_York,00SC
00SD,,Homan Field,Gary,South Dakota,US,1590,44.80915833,-96.49889722,America/Chicago,00SD
00TS,,Alpine Range Airport,Everman,Texas,US,670,32.60793889,-97.24232222,America/Chicago,00TS
00TX,,Delva Field,Van,Texas,US,545,32.544452,-95.67313,America/Chicago,00TX
00VA,,Vaughan Airport,Alton,Virginia,US,551,36.576,-78.99916667,America/New_York,00VA
00VI,,Groundhog Mountain Airport,Hillsville,Virginia,US,2680,36.66333333,-80.4995,America/New_York,00VI
00WA,,Howell Airport,Longbranch,Washington,US,150,47.17843056,-122.7718,America/Los_Angeles,00WA
00WI,,Northern Lite Airport,Waupaca,Wisconsin,US,860,44.304285,-89.05011361,America/Chicago,00WI
00WN,,Hawks Run Airport,Asotin,Washington,US,2900,46.25,-117.249,America/Los_Angeles,00WN
00WV,,Lazy J Aerodrome,Beverly,West Virginia,US,2060,38.82888889,-79.86611111,America/New_York,00WV
00XA,,Weeski Ranch Airport,Hempstead,Texas,US,271,30.2240375,-96.01415278,America/Chicago,00XA
01AL,,Ware Island Airport,Clanton,Alabama,US,344,32.94595611,-86.51386833,America/Chicago,01AL
01AN,,Mc Hone Heights Airport,Wasilla,Alaska,US,610,61.64902778,-149.3390278,America/Anchorage,01AN
01CL,,Swansboro Country Airport,Placerville,California,US,2594,38.79990222,-120.7343756,America/Los_Angeles,01CL
01CN,,Coleman Homestead Airport,Talkeetna,Alaska,US,282,62.10698194,-150.1092986,America/Anchorage,01CN
01FA,,Rybolt Ranch Airport,Orlando,Florida,US,55,28.58944361,-81.14423028,America/New_York,01FA
01FL,,Cedar Knoll Flying Ranch Airport,Geneva,Florida,US,19,28.78193611,-81.15922778,America/New_York,01FL
01GE,,The Farm Airport,Wrightsville,Georgia,US,375,32.67444444,-82.77111111,America/New_York,01GE
01ID,,Lava Hot Springs Airport,Lava Hot Springs,Idaho,US,5268,42.60825111,-112.0324606,America/Boise,01ID
01IS,,William E Koenig Airport,Dow,Illinois,US,670,39.01615833,-90.31816861,America/Chicago,01IS
01LA,,Barham Airport,Oak Ridge,Louisiana,US,90,32.63902694,-91.77373611,America/Chicago,01LA
01LS,,Country Breeze Airport,Slaughter,Louisiana,US,125,30.72263889,-91.07736111,America/Chicago,01LS
01MT,,Crystal Lakes Resort Airport,Fortine,Montana,US,3141,48.78913194,-114.8804364,America/Denver,01MT
01NC,,Topsail Airpark,Holly Ridge,North Carolina,US,65,34.47527778,-77.58138889,America/New_York,01NC
01NH,,Moore Airfield,Canaan,New Hampshire,US,835,43.64451667,-72.08703056,America/New_York,01NH
01NK,,Granville Airport,Granville,New York,US,421,43.42294444,-73.268025,America/New_York,01NK
01NM,,Champion Ranch Airport,Artesia,New Mexico,US,3630,33.00861111,-104.5402778,America/Denver,01NM
01NV,,Lantana Ranch Airport,Yerington,Nevada,US,4600,38.76388889,-119.0272222,America/Los_Angeles,01NV
01OL,,Spring Creek Ranch East Airport,Tishomingo,Oklahoma,US,1060,34.37256978,-96.71603719,America/Chicago,01OL
01PA,,Powell Kaiser Airport,Bolivar,Pennsylvania,US,1500,40.36248611,-79.16548056,America/New_York,01PA
01PS,,Nort's Resort Airport,Meshoppen,Pennsylvania,US,1040,41.59590833,-76.02964444,America/New_York,01PS
01SC,,York Airport,York,South Carolina,US,779,35.03207944,-81.25277778,America/New_York,01SC
01TE,,Smith Field,Forney,Texas,US,505,32.73762917,-96.42804056,America/Chicago,01TE
01TN,,Colonial Air Park,Collierville,Tennessee,US,370,34.99592611,-89.73064,America/Chicago,01TN
01TS,,Fort Parker Flying Field,Groesbeck,Texas,US,500,31.56525,-96.54609722,America/Chicago,01TS
01VA,,Pickles Airport,Berryville,Virginia,US,500,39.125,-77.925,America/New_York,01VA
01WY,,Keyhole Airport,Moorcroft,Wyoming,US,4250,44.34720472,-104.8108036,America/Denver,01WY
02AA,,Barefoot Airport,Big Lake,Alaska,US,160,61.50666667,-149.9119444,America/Anchorage,02AA
02AK,,Rustic Wilderness Airport,Willow,Alaska,US,190,61.87691111,-150.0976389,America/Anchorage,02AK
02AL,,Bass Field,Foley,Alabama,US,61,30.37146389,-87.76444444,America/Chicago,02AL
02AR,,Mount Moriah Field,Murfreesboro,Arkansas,US,400,34.11694444,-93.6965,America/Chicago,02AR
02CD,,Shannon Field,Clarksdale,Mississippi,US,165,34.12960556,-90.524025,America/Chicago,02CD
02CO,,Mc Cullough Airport,Monte Vista,Colorado,US,7615,37.64333472,-106.04697,America/Denver,02CO
02FA,,Osborn Airfield,Groveland,Florida,US,121,28.52666639,-81.8748,America/New_York,02FA
02FD,,Triple R Ranch Airport,Baker,Florida,US,209,30.95234722,-86.63541667,America/Chicago,02FD
02GA,,Doug Bolton Field,Commerce,Georgia,US,884,34.20260806,-83.42904889,America/New_York,02GA
02GE,,Etowah Fields Airport,Euharlee,Georgia,US,710,34.17527778,-84.92444444,America/New_York,02GE
02ID,,Morgan Ranch Airport,Cascade,Idaho,US,5634,44.55545944,-115.3051067,America/Boise,02ID
02IN,,Diamond P Field,Muncie,Indiana,US,904,40.20888889,-85.54083333,America/Indiana/Indianapolis,02IN
02KS,,Jmj Landing Airport,St Marys,Kansas,US,1170,39.22221889,-96.05527056,America/Chicago,02KS
02MD,,Garner Field,Brandywine,Maryland,US,141,38.67254444,-76.70973889,America/New_York,02MD
02ME,,Nadeau's Airfield,Acton,Maine,US,700,43.5373,-70.92936667,America/New_York,02ME
02MI,,Fairplains Airpark,Greenville,Michigan,US,850,43.15700278,-85.14892778,America/Detroit,02MI
02MN,,Gregory Airport,Cambridge,Minnesota,US,950,45.62973611,-93.17497222,America/Chicago,02MN
02MO,,Troy Airpark,Troy,Missouri,US,630,39.04626111,-91.02821944,America/Chicago,02MO
02MS,,Watts Field,Rochdale,Mississippi,US,153,34.10010694,-90.84677139,America/Chicago,02MS
02MT,,Steppler Field,Culbertson,Montana,US,2112,47.98042778,-104.7089361,America/Denver,02MT
02NV,,Paiute Meadows Airport,Winnemucca,Nevada,US,4443,41.30055556,-118.9283333,America/Los_Angeles,02NV
02OK,,Bobbitt Airport,Lamont,Oklahoma,US,1033,36.61888889,-97.535,America/Chicago,02OK
02PR,,Cuylers Airport,Vega Baja,Puerto Rico,US,15,18.45333333,-66.36694444,America/Puerto_Rico,02PR
02SC,,Harpers Airport,Estill,South Carolina,US,111,32.75850194,-81.22482472,America/New_York,02SC
02TN,,Ellis Field,Murfreesboro,Tennessee,US,840,35.78055556,-86.58416667,America/Chicago,02TN
02TS,,El Tesoro Ranch Airport,Charlotte,Texas,US,334,28.66264167,-98.72309444,America/Chicago,02TS
02UT,,Lucin Airport,Lucin,Utah,US,4412,41.3663125,-113.8430636,America/Denver,02UT
02VA,,The Greenhouse Airport,Culpeper,Virginia,US,320,38.43568278,-77.85721639,America/New_York,02VA
02WA,,Cawleys South Prairie Airport,South Prairie,Washington,US,690,47.15232389,-122.0940028,America/Los_Angeles,02WA
02WI,,Beer Airport,Hudson,Wisconsin,US,920,45.03191111,-92.65575639,America/Chicago,02WI
02WN,,Fowler Field,Tonasket,Washington,US,2150,48.74583333,-119.3186111,America/Los_Angeles,02WN
02XA,,Jls Farms Airport,Honey Grove,Texas,US,675,33.59131944,-95.88286389,America/Chicago,02XA
02XS,,Seidel Ranch Airport,Elroy,Texas,US,510,30.14771306,-97.66277917,America/Chicago,02XS
03AZ,,Thompson International Aviation Airport,Hereford,Arizona,US,4275,31.4334325,-110.0839658,America/Phoenix,03AZ
03FA,,Lake Persimmon Airstrip,Lake Placid,Florida,US,70,27.3530975,-81.40812861,America/New_York,03FA
03GA,,Hia Airport,Statesboro,Georgia,US,238,32.56230556,-81.85769444,America/New_York,03GA
03IA,,Flatlander Airport,Elliott,Iowa,US,1081,41.14141111,-95.19438056,America/Chicago,03IA
03ID,,Flying Y Ranch Airport,Council,Idaho,US,3180,44.79432944,-116.5326464,America/Boise,03ID
03IL,,Wix Airport,Monee,Illinois,US,750,41.40225528,-87.81671333,America/Chicago,03IL
03KY,,Flying H Farms Airport,Henderson,Kentucky,US,385,37.795904,-87.53879,America/Chicago,03KY
03MA,,Hadley Airport,Hadley,Massachusetts,US,150,42.39314472,-72.55203222,America/New_York,03MA
03ME,,Maple Ridge Airport,Harrison,Maine,US,556,44.08423722,-70.62728278,America/New_York,03ME
03MN,,Nauerth Land Ranch Airport,Lakefield,Minnesota,US,1435,43.62523833,-95.22472222,America/Chicago,03MN
03MO,,Dorton Airport,Richmond,Missouri,US,930,39.28883056,-93.99242222,America/Chicago,03MO
03MU,,Mc Donnell Airport,Archie,Missouri,US,874,38.49194444,-94.41235556,America/Chicago,03MU
03NC,,Pilots Ridge Airport,Carolina Beach,North Carolina,US,35,34.10433833,-77.90416667,America/New_York,03NC
03ND,,Olafson Brothers Airport,Edinburg,North Dakota,US,1045,48.62638278,-97.82898333,America/Chicago,03ND
03NV,,Llama Ranch Airport,Ruby Valley,Nevada,US,6120,40.58444444,-115.2977778,America/Los_Angeles,03NV
03NY,,Talmage Field,Riverhead,New York,US,95,40.95843167,-72.716765,America/New_York,03NY
03OH,,Gibbs Field,Fremont,Ohio,US,580,41.41838528,-83.01741611,America/New_York,03OH
03OK,,Sahoma Lake Airport,Sapulpa,Oklahoma,US,890,36.04119722,-96.16138889,America/Chicago,03OK
03OL,,Bluebird Airport,Alex,Oklahoma,US,1232,35.01233389,-97.702735,America/Chicago,03OL
03OR,,Powwatka Ridge Airport,Troy,Oregon,US,3340,45.85542194,-117.4843442,America/Los_Angeles,03OR
03PR,,Sun View Field,Bonner Springs,Kansas,US,980,39.06594722,-94.92170278,America/Chicago,03PR
03TE,,Barronena Ranch Airport,Hebbronville,Texas,US,600,27.49114444,-98.66946139,America/Chicago,03TE
03TT,,Brazos Polo Airport,Orchard,Texas,US,117,29.63211667,-95.93248056,America/Chicago,03TT
03UT,,A Z Minerals Corporation Airport,Mexican Hat,Utah,US,5315,37.12083444,-109.9859572,America/Denver,03UT
03WA,,Spangle Field,Spangle,Washington,US,2440,47.40822694,-117.3718636,America/Los_Angeles,03WA
03WN,,Aerostone Airfield,Goldendale,Washington,US,2342,45.87545447,-120.672326,America/Los_Angeles,03WN
03XS,,Creekside Airport,Mertzon,Texas,US,2100,31.31805556,-100.7541667,America/Chicago,03XS
04AA,,Flying W Ranch Airport,Soldotna,Alaska,US,250,60.53583333,-150.8113889,America/Anchorage,04AA
04AZ,,White Hills Airport,White Hills,Arizona,US,2470,35.72177639,-114.4505389,America/Denver,04AZ
04CA,,Gray Butte Field,Palmdale,California,US,3028,34.56662222,-117.6703833,America/Los_Angeles,04CA
04CL,,Desert Wings Sky Ranch Airport,Julian,California,US,2310,33.08171083,-116.4414044,America/Los_Angeles,04CL
04FA,,Richards Field,Homestead,Florida,US,9,25.55871917,-80.51505722,America/New_York,04FA
04FL,,Cross Creek Farms Airport,Ormond,Florida,US,30,29.23942472,-81.222005,America/New_York,04FL
04IA,,Middlekoop Airport,Packwood,Iowa,US,801,41.08835028,-92.05462028,America/Chicago,04IA
04ID,,Lanham Field,Emmett,Idaho,US,2343,43.87766417,-116.5370806,America/Boise,04ID
04IL,,Schertz Aerial Service - Hudson Airport,Hudson,Illinois,US,755,40.63753528,-89.00701889,America/Chicago,04IL
04IS,,Van Gorder Airport,Mansfield,Illinois,US,728,40.17864472,-88.5689525,America/Chicago,04IS
04KS,,Kraemer Airfield,Minneola,Kansas,US,2551,37.39854706,-100.0370942,America/Chicago,04KS
04KY,,Natchez Trace Farm Airport,Hiseville,Kentucky,US,710,37.13505361,-85.78941556,America/Chicago,04KY
04MA,,Goddard Airport,Haverhill,Massachusetts,US,200,42.80981139,-71.13922528,America/New_York,04MA
04ME,,Beech Hill Airport,Mercer,Maine,US,625,44.66672861,-69.89394417,America/New_York,04ME
04MI,,Rapids Airway Airport,Eaton Rapids,Michigan,US,880,42.53448111,-84.62831306,America/Detroit,04MI
04MN,,Helblad Airport,Kelliher,Minnesota,US,1195,47.98579222,-94.68691778,America/Chicago,04MN
04MS,,Nick's Flying Service Inc Airport,Rolling Fork,Mississippi,US,100,32.93957167,-90.83732194,America/Chicago,04MS
04MT,,Pluhar Airport,Cohagen,Montana,US,2715,47.13749778,-106.488095,America/Denver,04MT
04NE,,Mc Connell Field,Sarben,Nebraska,US,3035,41.15999333,-101.2990525,America/Denver,04NE
04NJ,,Emmanuel Airport,Elmer,New Jersey,US,155,39.59678111,-75.23351889,America/New_York,04NJ
04NV,,Kingston Ranch Airport,Sandy Valley,Nevada,US,2620,35.75553139,-115.6647281,America/Los_Angeles,04NV
04NY,,Klaverack Airport,Hudson,New York,US,250,42.26230917,-73.69623306,America/New_York,04NY
04OR,,Collins Landing Strip,Mitchell,Oregon,US,1500,44.74985528,-120.2011289,America/Los_Angeles,04OR
04TN,,Hensley Airpark,Chuckey,Tennessee,US,1430,36.18333333,-82.67888889,America/New_York,04TN
04TT,,4D Ranch Airport,Utopia,Texas,US,1550,29.71307222,-99.54564167,America/Chicago,04TT
04TX,,Pocock Airport,China Spring,Texas,US,565,31.73222222,-97.36888889,America/Chicago,04TX
04UT,,Navajo Mountain Airport,Navajo Mountain Trdng Post,Utah,US,6160,37.00832972,-110.7951367,America/Denver,04UT
04VT,,Lightning Bolt Field,Cabot,Vermont,US,2156,44.40111111,-72.26361111,America/New_York,04VT
04WA,,Ox Meadows Airport,Spokane,Washington,US,2345,47.58183611,-117.4371525,America/Los_Angeles,04WA
04WI,,Dutch Gap Airstrip,Bristol,Wisconsin,US,760,42.5233525,-88.01674806,America/Chicago,04WI
04WN,,Stillwater Creek Airport,Royal City,Washington,US,1510,46.95835833,-119.6388194,America/Los_Angeles,04WN
04XA,,Pecan Field,Jermyn,Texas,US,1130,33.28393333,-98.40286111,America/Chicago,04XA
05AK,,Wasilla Creek Airpark,Palmer,Alaska,US,645,61.66865417,-149.1873333,America/Anchorage,05AK
05AR,,Ozark Skies Airpark,Kingston,Arkansas,US,1900,36.00063333,-93.57025,America/Chicago,05AR
05CL,,Pope Valley Airport,Pope Valley,California,US,618,38.61073917,-122.3913675,America/Los_Angeles,05CL
05CO,,Rancho De Aereo Airport,Mead,Colorado,US,4978,40.21498389,-104.9844228,America/Denver,05CO
05FA,,Melanie's Airport,Florala,Florida,US,295,30.91888889,-86.21833333,America/Chicago,05FA
05FL,,Charlton Strip,La Belle,Florida,US,36,26.52022222,-81.41022222,America/New_York,05FL
05GA,,Raju Airport,Richland,Georgia,US,625,32.07138889,-84.71444444,America/New_York,05GA
05IA,,Spotts Field,Nora Springs,Iowa,US,1155,43.13787083,-93.06834167,America/Chicago,05IA
05ID,,Running Creek Ranch Airport,Grangeville,Idaho,US,2969,45.91408361,-114.8356606,America/Los_Angeles,05ID
05IL,,Classic Landings Airport,Bonfield,Illinois,US,635,41.16,-88.01666667,America/Chicago,05IL
05IN,,Cooper Airport,Belleville,Indiana,US,860,39.64199083,-86.50416417,America/Indiana/Indianapolis,05IN
05KS,,Darbro Field,Elk City,Kansas,US,925,37.26633889,-95.958975,America/Chicago,05KS
05KT,,High Point Farm Airport,Frankfort,Kentucky,US,880,38.18820278,-84.92750278,America/New_York,05KT
05KY,,Cartersville Airport,Berea,Kentucky,US,1070,37.53555556,-84.40722222,America/New_York,05KY
05LA,,Greg's Flying Service Airport,Baskin,Louisiana,US,77,32.26542083,-91.69792083,America/Chicago,05LA
05LS,,Grass Roots Airport,Alexandria,Louisiana,US,83,31.25222222,-92.47583333,America/Chicago,05LS
05MD,,Breezecroft Airport,Chestertown,Maryland,US,20,39.24421881,-76.19867144,America/New_York,05MD
05ME,,Drisko Airport,Jonesboro,Maine,US,70,44.65702167,-67.55916,America/New_York,05ME
05MT,,Jones Landing Airport,Belgrade,Montana,US,4364,45.81662778,-111.1521417,America/Denver,05MT
05NC,,Dead Cow Field,Beaufort,North Carolina,US,11,34.75944444,-76.64472222,America/New_York,05NC
05NE,,Mc Kay Airport,Spalding,Nebraska,US,2010,41.72223306,-98.30895833,America/Chicago,05NE
05NV,,Baker Ranches Airport,Baker,Nevada,US,5180,39.02583333,-114.095,America/Los_Angeles,05NV
05OH,,Eaglecrest Field,Conesville,Ohio,US,968,40.18466667,-81.920625,America/New_York,05OH
05OK,,Muncy Airport,Hydro,Oklahoma,US,1680,35.47136389,-98.54170833,America/Chicago,05OK
05OR,,6 Ranch Airport,Enterprise,Oregon,US,3500,45.44425,-117.3473056,America/Los_Angeles,05OR
05PS,,Mills Brothers Airport,Burnt Cabins,Pennsylvania,US,1210,40.14277778,-77.86194444,America/New_York,05PS
05TA,,Brandes Air Field,Sealy,Texas,US,270,29.80908056,-96.26396389,America/Chicago,05TA
05TE,,Hilde-Griff Field,Georgetown,Texas,US,950,30.72213333,-97.7914025,America/Chicago,05TE
05TS,,Dew Drop Airport,Justin,Texas,US,750,33.1292875,-97.35863056,America/Chicago,05TS
05TX,,Circle 'A' Ranch Airport,Blum,Texas,US,608,32.12916667,-97.40416667,America/Chicago,05TX
05VA,,Providence Airport,Farmville,Virginia,US,445,37.22416667,-78.41861111,America/New_York,05VA
05WI,,Ames Private Airport,Darien,Wisconsin,US,958,42.65112444,-88.74593861,America/Chicago,05WI
05WN,,Flat Creek Field,Kettle Falls,Washington,US,1570,48.70222222,-118.0475,America/Los_Angeles,05WN
05XS,,Johnson Memorial Airport,Wilmot,Arkansas,US,105,33.0785,-91.56183333,America/Chicago,05XS
06AA,,Twisted Sisters Airport,Sterling,Alaska,US,260,60.54013889,-150.8136111,America/Anchorage,06AA
06AK,,June Lake Airpark,Wasilla,Alaska,US,425,61.62761944,-149.5753306,America/Anchorage,06AK
06AR,,Cy Bond Memorial Airport,Higden,Arkansas,US,499,35.54452194,-92.18487444,America/Chicago,06AR
06CO,,Jecan Airport,Branson,Colorado,US,5100,37.38751389,-103.6910611,America/Denver,06CO
06FA,,William P Gwinn Airport,Jupiter,Florida,US,28,26.90815306,-80.32841403,America/New_York,06FA
06FD,,Grass Roots Airpark,Mascotte,Florida,US,105,28.64166667,-81.885,America/New_York,06FD
06IA,,Rich Field,Walford,Iowa,US,880,41.84014167,-91.83441389,America/Chicago,06IA
06ID,,Larkin Airport,Kuna,Idaho,US,2750,43.462665,-116.3590083,America/Boise,06ID
06IL,,Humm Airport,Earlville,Illinois,US,708,41.59952778,-88.86994444,America/Chicago,06IL
06IS,,Sinele Strip,Nauvoo,Illinois,US,695,40.54643167,-91.27431583,America/Chicago,06IS
06MO,,Noah's Ark Airport,Waldron,Missouri,US,755,39.2305575,-94.80440583,America/Chicago,06MO
06MT,,Torgerson Airport,Ethridge,Montana,US,3541,48.55831722,-112.1092036,America/Denver,06MT
06NC,,Tailwinds Airport,St. Pauls,North Carolina,US,163,34.8275,-78.93027778,America/New_York,06NC
06NH,,Cole Farm Airport,Kensington,New Hampshire,US,160,42.92842222,-70.97311111,America/New_York,06NH
06NV,,Silver Creek Airport,Baker,Nevada,US,5556,39.09833333,-114.1502778,America/Los_Angeles,06NV
06NY,,Murphy Field,Auburn,New York,US,1100,42.84277778,-76.44527778,America/New_York,06NY
06OH,,Hal Joy Airfield,Williamsfield,Ohio,US,1160,41.50977611,-80.59118583,America/New_York,06OH
06OI,,Green Acres Airport,New Lebanon,Ohio,US,915,39.73477806,-84.38222222,America/New_York,06OI
06PA,,Freefall Oz Airport,Ceres,Pennsylvania,US,1440,41.996,-78.2865,America/New_York,06PA
06TA,,Glaser Field,Buckholts,Texas,US,480,30.90852028,-97.11693639,America/Chicago,06TA
06TE,,Cavok Airpark,Cleveland,Texas,US,132,30.31295833,-95.02728472,America/Chicago,06TE
06TN,,Hunter Airport,Columbia,Tennessee,US,640,35.69729139,-86.9569475,America/Chicago,06TN
06TS,,M Sansom Ranch Airport,Paint Rock,Texas,US,1810,31.42159167,-99.836575,America/Chicago,06TS
06TT,,6 Mile Airpark,Fort Mckavett,Texas,US,2165,30.86002361,-100.2019958,America/Chicago,06TT
06TX,,Diamond N Ranch Airport,Hockley,Texas,US,215,30.05755,-95.81289444,America/Chicago,06TX
06VA,,Mount Horeb Field,Grottoes,Virginia,US,1160,38.24901861,-78.85530333,America/New_York,06VA
06WI,,Lazy River Airport,Wausaukee,Wisconsin,US,720,45.40276111,-87.85731667,America/Chicago,06WI
06WN,,Western Airpark,Yelm,Washington,US,394,46.92498472,-122.5530389,America/Los_Angeles,06WN
06XA,,J & W Windy Hill Airport,Van Alstyne,Texas,US,784,33.44598333,-96.57079722,America/Chicago,06XA
06XS,,Campbell Field,Aubrey,Texas,US,546,33.32472222,-97.04416667,America/Chicago,06XS
07AA,,Pan Lake Strip,Willow,Alaska,US,357,61.69596389,-149.9549028,America/Anchorage,07AA
07AR,,Morrilton Airport,Morrilton,Arkansas,US,300,35.1945275,-92.80016611,America/Chicago,07AR
07CL,,Richvale Airport,Richvale,California,US,100,39.49766361,-121.7713647,America/Los_Angeles,07CL
07CO,,Comanche Creek Airport,Kiowa,Colorado,US,6620,39.26361111,-104.4269444,America/Denver,07CO
07FA,,Ocean Reef Club Airport,Key Largo,Florida,US,6,25.32431708,-80.275729,America/New_York,07FA
07GA,,Alcovy Airport,Covington,Georgia,US,750,33.675,-83.76305556,America/New_York,07GA
07IA,,Hoskins Landing Airport,Shambaugh,Iowa,US,971,40.6478875,-95.02135,America/Chicago,07IA
07ID,,Shepard Strip,Oldtown,Idaho,US,2313.3,48.14921,-116.9980133,America/Boise,07ID
07IN,,Gray Airport,Boggstown,Indiana,US,750,39.57365889,-85.91387056,America/Indiana/Indianapolis,07IN
07KS,,Heape Field,Augusta,Kansas,US,1321,37.73418389,-96.93670083,America/Chicago,07KS
07KY,,Blue Lick Airport,Louisville,Kentucky,US,532,38.0806225,-85.6932925,America/New_York,07KY
07LA,,Richmond Plantation Airport,Forest Hill,Louisiana,US,150,31.053,-92.632875,America/Chicago,07LA
07MD,,Baugher's Orchard Airport,Westminster,Maryland,US,700,39.60944722,-77.04811944,America/New_York,07MD
07MI,,Scott Airstrip,Lake,Michigan,US,1065,43.86418917,-85.02391889,America/Detroit,07MI
07MO,,Lake Sexton Airport,Warrensburg,Missouri,US,880,38.65001472,-93.61687944,America/Chicago,07MO
07MT,,Glasgow Industrial Airport,Glasgow,Montana,US,2762,48.42109508,-106.5277159,America/Denver,07MT
07NC,,Hawks Meadow Airport,Waxhaw,North Carolina,US,625,34.83320417,-80.75117833,America/New_York,07NC
07NV,,Border Line Farm Airport,Baker,Nevada,US,5120,39.10222222,-114.0533333,America/Los_Angeles,07NV
07OK,,Pleasant Valley Airport,Snyder,Oklahoma,US,1322,34.63340472,-99.03368861,America/Chicago,07OK
07PA,,Dream Air Airport,Albion,Pennsylvania,US,870,41.85308056,-80.4072,America/New_York,07PA
07PN,,Folmar Airport,Grassflat,Pennsylvania,US,1690,40.99888889,-78.12527778,America/New_York,07PN
07TA,,Salaika Aviation Airport,Danbury,Texas,US,30,29.24051944,-95.34465833,America/Chicago,07TA
07TE,,Cuddihy Field,Corpus Christi,Texas,US,39,27.72114028,-97.51277111,America/Chicago,07TE
07TS,,Cross Country Estates Marshall Field,Georgetown,Texas,US,690,30.625,-97.57277778,America/Chicago,07TS
07UT,,E Northrop Grumman Airport,Howell,Utah,US,4480,41.71666667,-112.4472222,America/Denver,07UT
07VA,,Alpha Hotel Airport,Clover,Virginia,US,350,36.81958361,-78.78306222,America/New_York,07VA
07VT,,Meadow Airport,Jericho,Vermont,US,801,44.44722222,-72.91472222,America/New_York,07VT
08AK,,Fisher Airport,Big Lake,Alaska,US,200,61.56963889,-149.7244389,America/Anchorage,08AK
08AR,,Garrison Airport,Ashdown,Arkansas,US,329,33.72361111,-94.14527778,America/Chicago,08AR
08CL,,Kistler Ranch Airport,Jamestown,California,US,1025,37.85964917,-120.5543664,America/Los_Angeles,08CL
08CO,,Terra Firma Airport,Rush,Colorado,US,5600,38.73247222,-104.0413333,America/Denver,08CO
08FA,,Duda Airstrip,La Belle,Florida,US,35,26.57979472,-81.48368861,America/New_York,08FA
08FD,,Sunniland Ranch Airport,Okeechobee,Florida,US,65,27.36309833,-80.7726,America/New_York,08FD
08FL,,J H Hendrie Farms Airport,Lake Placid,Florida,US,103,27.08449694,-81.32868333,America/New_York,08FL
08GA,,Sapelo Island Airport,Darien,Georgia,US,12,31.42578028,-81.28592889,America/New_York,08GA
08ID,,Symms Airport,Marsing,Idaho,US,2680,43.56932528,-116.776805,America/Boise,08ID
08IL,,Marshall Farms Airport,Cortland,Illinois,US,841,41.86038333,-88.65574167,America/Chicago,08IL
08KS,,Alderson Airport,Bennington,Kansas,US,1250,39.0343875,-97.57999861,America/Chicago,08KS
08KY,,Boss Airport,Burnside,Kentucky,US,820,36.97308889,-84.62603611,America/New_York,08KY
08LL,,Sauer Airport,Dwight,Illinois,US,665,41.07527778,-88.48916667,America/Chicago,08LL
08LS,,Aeleron Airport,Grand Coteau,Louisiana,US,51,30.40925,-92.03316667,America/Chicago,08LS
08ME,,Lindbergh Airport,Avon,Maine,US,554,44.81422389,-70.34534361,America/New_York,08ME
08MO,,Twin Oaks Airport,Jasper,Missouri,US,955,37.39560556,-94.28383611,America/Chicago,08MO
